,Tweet
231,"Let's see what happens. Hail farmers!
#farmersrprotest 
#FarmersDyingModiEnjoying https://t.co/eDanEORnCQ"
232,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/W64Ec1Kbjq
233,"@vijucherian @bibekdebroy @moneycontrolcom @bibekdebroy Not denying your points

Have a look at current Maharashtra… https://t.co/8lFTFt3si7"
234,Ex-BJP union minister extends support to farmers https://t.co/3AwPHxz7Bj
235,"Who else has been walking people off the cliff, fully believing #PresidentTrump isn’t going anywhere??? 😎 https://t.co/zM0Zm8Zdmx"
236,"Lies of Godi media exposed again! Those who met with PM Modi in Kutch were not farmers but BJP activists.

Shame!… https://t.co/Y0cJ2kmLI5"
237,"@ThePrintIndia @remyanair4 There is no doubt that agri sector needs reforms. However, concerns of the farmers, stat… https://t.co/rnIy7rRu86"
238,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/rJ2byQ4m9D"
239,"These are our so called ministers 🤦‍♂️🤦‍♂️🤦‍♂️  

#Farmers #kisanandolan https://t.co/4Q0eQ6wGq9"
240,"Protect your crop fields by using Agri-Cannon.  

#agriculture #Agricultural #Farmers #farming #food… https://t.co/luYewlMs6u"
241,@IAmJha71025080 @AmitShah @BJP4India @BJP4Bengal @BJPMM4Bengal @BJYMinWB Bengal should not forget that it is the sa… https://t.co/L4Z6pL5pr3
242,#EatGhana #BuyGhana 😁 Rice grown in #Ghana by our farmers #RoyalFarmers 🦁 #Roarrrrrr #Ghana 🇧🇴 https://t.co/QaDW51X8rw
243,@sainira07123358 @sarwan_shikha @bravosingh_ @KanganaTeam @diljitdosanjh First of all farmers ko terrorists nhi bol… https://t.co/ab8NM3ROjM
244,@mvrbhat @chetan_bhagat Indian agriculture can't  fly high in just overnight imposed reform in the name of farmers… https://t.co/bmF2q4ihgg
245,"🗓 Today (12/19) from 🕓 8am-1pm
📍 Old Town Scottsdale Farmers Market (3806 N Brown Ave, 85251)

Follow us on StreetF… https://t.co/nrBX71AneB"
246,"Amit Shah and BJP back corporates, not farmers; BJP's is the party that indulges in violence: TMC MP Kalyan Banerje… https://t.co/7nmaR3P9Ui"
247,@uniqueindian12 @sultan_bharat @RahulGandhi yes thats true at the moment no body care about farmers they both works… https://t.co/sIeDVsmiEV
248,"#Solidarity #IStandWithFarmers #RepealFarmLaws #FarmersFeedUs 
The protests intensify....and the Modi-Shah led BJP… https://t.co/NtFJ5WVlj8"
249,@FAM4TMC @AmitShah Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers o… https://t.co/xbasSLGH4S
250,"That's how the bill was passed.

#FarmersBill
#FarmersDoneWithModiJumlas
#FarmersProtest https://t.co/7CfxDKgUlD"
251,@RadhamohanBJP @swatantrabjp @sunilbansalbjp @JPNadda @blsanthosh @BJP4India @BJP4UP Farmers benefit if MSP will le… https://t.co/UuP8uV4P5b
252,"It’s neither Hindus vs Sikhs nor Sikhs vs India. It’s farmers vs new farm bill.
#FarmersProtest https://t.co/YvSxtruymY"
253,Farmers Protest LIVE Updates: Maharashtra farmers group announces plan to march to Delhi; cultivators to gather in… https://t.co/mxjwDc3K87
254,"@Pranjalpratyush apki soch pe hassi aati hai
When they help kerela floods , kedarnath floods etc then khalsa aid is… https://t.co/mauukswgTH"
255,"#Solidarity #IStandWithFarmers #RepealFarmLaws #FarmersFeedUs 
The protests intensify....and the Modi-Shah led BJP… https://t.co/ejzucIw4Zw"
256,@SatishK40011283 @AjaySin70895435 @real_mishraji @KapilMishra_IND @RubikaLiyaquat @mssirsa @capt_amarinder… https://t.co/8LS6d22EN9
257,"It’s neither Hindus vs Sikhs nor Sikhs vs India. It’s farmers vs new farm bill.
#FarmersProtest #FarmersProstests… https://t.co/xlfCU89YbO"
258,@sharn1996 @PunYaab @sukh_slatch Yeah they only display posters of Khalistan and t€®®o®ists and don't like the govt… https://t.co/6RH2g7LSF2
259,@ammiedgr8 This list  shows FII confidence in India and how much money they have pumped in since April 2019 .The so… https://t.co/DuBbBwqBMJ
260,"@BhanuPSinghRJSP Sir you are a really brave and truthfull person with a very strong backbone, We are farmers childr… https://t.co/1jAAgoZs6n"
261,"You shameless Sanghi bigot !!!! 

Cover some news of how our farmers are here protesting against your Modi a Shah !… https://t.co/P4avDFGyjI"
262,@TMC_Supporters Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of t… https://t.co/3e1YBGex4a
263,Support farmers #FarmersDoneWithModiJumlas https://t.co/Lld3sRtF7r
264,"@LeedsBreadCoop Just snapped up a few bits from these guys at Baildon farmers market. Awesome produce as usual, and… https://t.co/m7aL2M4K8b"
265,FARMERS OF ENTIRE NATION STAND WITH MODI. BANGLORE STARTS FARMERS STORE  #FarmersDoneWithModiJumlas https://t.co/zg0a3qWSDk
266,"Buying up to 10 acres and above attracts considerable discount

You can own a Farmland today

For more enquiry cont… https://t.co/KSFm5TctS3"
267,@GhoshalRajib Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the… https://t.co/ZtpOZWjntn
268,@gauravsingh8440 @adveetey @rahulkanwal Now farmers don't believe in supreme court so should we create new agency whom they will believe ?
269,@Ferenc37230106 I know a lot of rural kids who don’t take shit from anyone. Most are young farmers or tradesmen tha… https://t.co/UMw15XtAsP
270,source: https://t.co/b72RNlFEKr
271,@narendramodi @nstomar Samvaad is never one sided.. if you respect farmers so much go and meet them and listen to them..
272,@izzynade @ManUtdInPidgin Farmers league
273,"Guess what? Modi hasnt met and talked to farmers at all. Infact, it was all a set up. Those who met with that man are BJP ""activists"""
274,@BJP4India @AmitShah Even UP farmers are not receiving the amount. who shud we question this???🤭
275,@narendramodi @nstomar Sir farmers are thinking you are  giving them a jumla  true or false sir you say sir
276,"@KanganaTeam Just like you have the right to express your views on farmers protests, so has Priyanka Chopra. Don't… https://t.co/MDgHx7EBjZ"
277,"@ManjotPadda9 @narendramodi @nstomar I think more than any other government, rest farmers know it better"
278,"Great news for people’s health (mainly the beef) and for the farming industry. Turns out, when a crisis hits, peopl… https://t.co/UYf6UNNJuK"
279,@SumantaWBTMCP @AmitShah Bengal should not forget that it is the same @AmitShah who has continued to betray the far… https://t.co/FNYt95hawt
280,@ndtv @AmitShah Will they have lunch with protesting farmers in Delhi too?
281,"@RaviSinghKA kahan nu ta assi bot kuj kah sakde...

list of farmers committing suicide is long
juat three days back… https://t.co/o18qInvirx"
282,"@invinciblewife @PunYaab @sukh_slatch You said they haven’t stopped anyone from protesting i sent you proof,laugh a… https://t.co/efq21qLVdP"
283,@Multanii12 @ArunVis53451302 @AdaniOnline Again nonsense. Govt agreed this demand tht farmer can go to court. Can u… https://t.co/gTssJFSoxR
284,@narendramodi @nstomar Sir what kind of Love your Govt in with Farmers? It started with Dating and now limited to e… https://t.co/Q4D7sqVyIK
285,@RahulGandhi  @INCIndia come forward and join the farmers protest. Time to come out from comfort zone and switch to active mode
286,@ambkcsingh Benefited which farmers?! That's really rich! And the electorate keeps letting him get away with this con job!!
287,"'Pearson's gave me good advice on cow flow, not only on the parlour but on other things in the yard as well' https://t.co/ynawtuOy7U"
288,Continuation of microbial technology dissemination among farmers growing rabi crops......... https://t.co/GB2C6dAJaW
289,@megh_vk @BibiPakhii @kgrao1980 @Chivas_Desi I have done my research and Kejri is more dangerous who just work for… https://t.co/8w1J8ba9B0
290,"Ashton Farmers Market is back tomorrow, as always this event is brought forward one week due to Christmas holidays.… https://t.co/5vXJGSytcV"
291,"@narendramodi
#FarmerProtestHijacked
When we will make Farmers to stand on their own legs  @Saliltoday   PM Modi sa… https://t.co/JbmbYzBUzw"
292,Tis the season to #BuyLocal #EatLocal. Support local farmers like School Of Vision Guest house. This social enterpr… https://t.co/gXjWCqbOc8
293,"@Chattarpal99 The farmers should make a Co-operative society which should fix the price of agricultural products, w… https://t.co/i892mTFQGh"
294,"Ten economists urge Agriculture Minister to repeal farm laws

As the stand-off between the agitating farmers and th… https://t.co/qcTVrpn9EC"
295,"Advice for local farmers:

🥕Collaborate with other small businesses locally

🥕If you run a box scheme,  then you ca… https://t.co/IDP3vJtdNR"
296,@arzt28 @mssirsa U feel harassed bcoz the roads are closed but can't see the agony and pain of farmers you should feel sorry about ir
297,EPA final rule limits farmers’ responsibility for protecting workers from pesticides: https://t.co/YCDPG8XCAf
298,"#ModiWithFarmers
Protecting farmers interests
via NaMo App https://t.co/Vi0y1pHJxn"
299,"Fascism relies on absolute lies, treachery, treason, deception! Only duds, deranged living creatures can support th… https://t.co/22ohG5e6sB"
300,"#ModiWithFarmers
Empowering small and medium farmers
via NaMo App https://t.co/Fnxd5SQHdd"
301,"The whole BJP bastard! To divide the farmers of Punjab and Haryana, Haryana BJP today staged a hunger strike on the… https://t.co/Ds0hjhu7V1"
302,"@sharn1996 @PunYaab @sukh_slatch So has anyone chased away ""the farmers""? What are you ranting about then?"
303,"The rift between the ruling Congress and its ally, the DMK, in #Puducherry came to the fore, once again, on Friday… https://t.co/TR3BOXapfy"
304,Serving at Cape Coral Farmers Market 4631 SE 10th PL Cape Coral From 8:00AM-1:00PM EDT https://t.co/JH43LtZZFc
305,Support farmers #FarmersDoneWithModiJumlas #farmersprotest #farmers #supportfarmers #isupportfarmers… https://t.co/qwzyTldpN3
306,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/y2r80ECduD
307,@TanmayPatel5072 @priyankmtr @nisargandh @harbhajan_singh @narendramodi I already explained ur 1 first benefits tha… https://t.co/U6grLrmt4w
308,"Technology to help farmers share and use data continues to advance, with two emerging platforms in particular leadi… https://t.co/yX3PEfTMLt"
309,"@_SSMB_Fan_ @Yash_Rajaneni 420 dokhe baaji party is BJP &amp; our PM too.
Same story at Demonitization to people
same t… https://t.co/32WMSO8IFQ"
310,"Forget turkey! This Christmas, pick up a Farmers to Market free-range chicken for superior flavour, straightforward… https://t.co/wvNkOy7EJ3"
311,"#ModiWithFarmers
Freedom of choice to farmers
via NaMo App https://t.co/Go46XYqZOb"
312,"What is more Cold than December?

Attitude of Indian Government towards farmers.

#FarmerProtests https://t.co/xfxRz4Pepa"
313,"The Genuine MS® Holiday Store is open today! We are located right inside the Mississippi Farmers Market, located in… https://t.co/6YUNjTQaxd"
314,"#ModiWithFarmers
Social security for farmers
via NaMo App https://t.co/DrqdHmmTIS"
315,@Lucy_Lapwing @ChrisGPackham @BorisJohnson Farmers have grubbed up thousands of miles of hedgerows to make huge mega profitable fields.
316,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/PCfQcL7nXP"
317,A bi-lingual news paper launched by protesting farmers #tralitimes https://t.co/Y9MIUyRXth
318,"#ModiWithFarmers
Credit access to farmers
via NaMo App https://t.co/gm1r0RdMjc"
319,"No matter how hard the propagandists try, protesting farmers won’t be seen as anti-national https://t.co/lq9yKIPCTZ https://t.co/A5gUyJxs34"
320,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/CeSDLLmGBl
321,PM Modi tweets in multiple regional languages to the farmers... Asks them to read the letter written by… https://t.co/uJoysv6Caf
322,@escaped_ferret i think those original farmers were probably slaves tbh
323,"@UFWupdates @Judy185Judy Omg my back is so sore just looking at this! The skill, the precision and accuracy! Pay th… https://t.co/5lskl7hdn0"
324,@karthikSaying @harbhajan_singh @narendramodi @PMOIndia The  Punjabi farmers are up because they can not take the b… https://t.co/837mqQarHr
325,"#ModiWithFarmers
Boosting farmers income
via NaMo App https://t.co/hzpDIVHVR9"
326,"Your cure for farmers problem has turned out to be worse than the disease. 
Give up already
#farmersrprotest… https://t.co/qQGHafXPpL"
327,Got my wooden chopsticks and spoon set from @JinnieForACause 💜 Yesterday and I'm Very happy! Aside for receiving th… https://t.co/IUfSZgYYVS
328,@david_ki_kahani gone through bad financial system that's why they introduce these bills in covid. that is lie beca… https://t.co/hNWJfOtIS8
329,"Farmers force BJP to stop its Jumla fast.

https://t.co/24JmfKq5wH"
330,"Modi's new palace, when farmers are not getting MSP. Karnataka bus drivers are not getting salaries.… https://t.co/JLxh1Vd9Tm"
331,One man has singlehandedly instilled a Bayern agenda in me. No mercy for the Kraut farmers 😈 https://t.co/pFwjJxL44m
332,who accuse farmers of not understanding Modi's farm laws &amp; being misled should read India's former Chief economic a… https://t.co/eMBIW7tfra
333,@coolfunnytshirt Ambani will announce a reliance mall for farmers too 😂
334,@rxsupermax @gurmind61341972 @thelegalnovice @rahulkanwal @narendramodi https://t.co/Bv92i4278Y Republic Bharat rep… https://t.co/OQT8hNgqxC
335,"@JohnAle94569326 @Starchild737 @Naimaism Actually slaves didn't build pyramids it was built by citizens who, mostly… https://t.co/JXJxUBlbfI"
336,"#ModiWithFarmers
New Markets to Farmers
https://t.co/FqhYmuomf9
via NaMo App"
337,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/CEH7R5Kkpy"
338,"#ModiWithFarmers
Opening new avenues to farmers
https://t.co/E890ah3Hti
via NaMo App"
339,@HereForSushi1 @TruthWins476 @KanganaTeam Well that's great 👍. But still u should first try to find out what exactl… https://t.co/4qEDsuZzCt
340,@PMOIndia why u can't discuss with farmers now when you can meet farmers easily during elections.there is problems… https://t.co/Pxt02d49Tz
341,"#ModiWithFarmers
Providing solutions to farmers
https://t.co/8pm4zyctde
via NaMo App"
342,"#ModiWithFarmers
New Markets to Farmers
https://t.co/hHhDuXSIJa
via NaMo App #ModiWithFarmers"
343,"#ModiWithFarmers
Opening new avenues to farmers
https://t.co/7iEUgVW3HR
via NaMo App #ModiWithFarmers"
344,Actress Leslie Tripathy on Farmers and Indian Govt 🇮🇳🙏 https://t.co/FbNKs4e1tK
345,"#ModiWithFarmers
Providing solutions to farmers
https://t.co/bpcHA9LWLL
via NaMo App #ModiWithFarmers"
346,"Think about BSNL's own tower, but it is not allowed for 4 G, but Jio 4 G is running from those towers.
👇
This will… https://t.co/4mXdPimvQ6"
347,"#ModiWithFarmers
Fulfilling the demands of farmers
https://t.co/KCpfCapmXj
via NaMo App"
348,"@narendramodi
Who are farmers? Rahul Chidi Vadra Sule Pawar? #FarmerProtestHijacked
Will bow my head in front of fa… https://t.co/zGTU250MGo"
349,"I admire Amit Shah’s “alleged” concern that farmers in Bengal aren’t getting Rs.6000

The concern though, looks hol… https://t.co/2plLwWzKyH"
350,@KanganaTeam Many farmers who own less then 5 acre of land are not capable to go and sell there produce thousand of… https://t.co/bLHiFeMuCd
351,Bengal should not forget that it is the same @AmitShah who has continued to betray the farmers of the country with… https://t.co/Y9x1YxaIVA
352,It’s 18 degrees and the farmers market in the north end is OUT HERE 😭
353,"#ModiWithFarmers
Fulfilling the demands of farmers
https://t.co/Ewl8AQLFzn
via NaMo App #ModiWithFarmers"
354,"#ModiWithFarmers
Timely support to farmers through MSP
https://t.co/rQh9aLwaLw
via NaMo App"
355,"#ModiWithFarmers
Timely support to farmers through MSP
https://t.co/HygrARN6fh
via NaMo App #ModiWithFarmers"
356,"#ModiWithFarmers
Reducing the input cost of farmers
https://t.co/3Zi1BXB97v
via NaMo App #ModiWithFarmers"
357,"#ModiWithFarmers
Reducing the input cost of farmers
https://t.co/uawnSlNpPE
via NaMo App"
358,Saw a YouTube video on farms bills. As I understand it- small farmers will be screwed. Over long run farm products… https://t.co/IkcTxOZ8gb
359,@rssurjewala @INCIndia Sahi mein doob jaaye. Don't you guys shame on yourself our farmers r dying in a so deadly wi… https://t.co/KEr1UcbN9c
360,"""This is a movement against the capitalist and fascist approach of the government,"" Shyambir Shukla, a member of th… https://t.co/hhooDP0xys"
361,"Not allowing the farmers to protest... Too much Democracy?
#FarmersDoneWithModiJumlas https://t.co/gsP2k3dje2"
362,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas
😁🤭 https://t.co/vGAysK7JV7"
363,Displaced Farmers Want to Return Home | Burma News International https://t.co/PUe3g03UDF
364,Over 300 Thousand Farmers Besiege India's Capital https://t.co/sTon8BkyaY
365,"@rahulkanwal @narendramodi you should neutral and tell all the fect for both side not only govt side
Many farmers a… https://t.co/qTE5XPpAJi"
366,"#FarmersDoneWithModiJumlas
See farmers problems

Must listen https://t.co/1qAD8gpTn4"
367,"@Jaskara72646445 @gagan_deh @nishaDev1 @ndtv Speak on facts . 
Opposing in fake narrative is purey for political be… https://t.co/8vybFK67Jj"
368,"#FarmersDyingModiEnjoying #FarmersDoneWithModiJumlas 

Save our farmers Modi 

C wts happening in Delhi cold https://t.co/Cmn5bzbDrN"
369,Via @PigProgress: No more therapeutic levels of #zinc oxide (#ZnO) in #weaner #diets: that is the reality for… https://t.co/K8A9smCZZU
370,@TanmayPatel5072 @priyankmtr @nisargandh @harbhajan_singh @narendramodi Because Punjab government not gonna pay too… https://t.co/fdt2X9yotE
371,@Mdzeeshanayyub A person who doesn’t know a damn abt farming is talking abt farmer rights... do u even know the bil… https://t.co/h0wsZEvGM9
372,"@AlkaJacob @sardesairajdeep @MamataOfficial Priority is for Power, After Bihar not the focus is West Bengal,   Farm… https://t.co/seYokHHgoK"
373,@AskAnshul The protest is to mislead the farmers &amp; paddle agenda of terrorists.
374,who is dallon ka gulam in this newsitem-84 ki qayamat congi ko jitane walon ko kaun samjha sakta hai?Diljit Dosanjh… https://t.co/Xzn9BHmihG
375,Diluting a genuine problem by sponsoring parallel farmers conference at various favorable places is the most brazen… https://t.co/9E7peYDT8W
376,"Blue-collar workers across the world are suffering. The farmers in India represent all of them, and their resistanc… https://t.co/NEygqtFN6E"
377,"So the security guards of Ellante Mall, Chandigarh stopped some vehicles carrying flags and posters supporting the… https://t.co/72tXO10Fgr"
378,"@yourboyHEMANT @Bhattacharyya31 @noneghjgj @TruthWins476 @KanganaTeam Yes, I really appreciate UR feelings :) 
But… https://t.co/fdPGvin0mA"
379,@Multanii12 @ArunVis53451302 @AdaniOnline Law is not for one state.. Other state don't get msp even.Let them have s… https://t.co/BICFsImRmP
380,"@david_ki_kahani fields but think about other people how they purchase flour , ground flour ,edible oils ,milk all… https://t.co/3kLmTUaj1C"
381,"Work hard, be kind, and amazing things will happen @TheDailyShow

#FarmersBill
#FacebookJioAgainstFarmers… https://t.co/3ximZ46jJe"
382,@jimeekay @pevans666 @IainDale @sturdyAlex Yes. There were continual complaints from poor African countries that th… https://t.co/vyCsenqw4s
383,"@chetan4_U Modi the PM, IT Cell, EVM, Godhi Media etc. are the creation of A&amp;A..NoteBan, Loan Waivers, PSU Sale, GS… https://t.co/utzUQbhjjj"
384,@Komalmeena0403 Farmers
385,"PM ‘attacked’ farmers, told ‘lies’ about MSP, say farm groups - The Hindu https://t.co/EY8F9IYjHd"
386,#mikepence ‘s ear in the first pic. The second pic is the ear of whoever the hell they used to show he (MP) got the… https://t.co/FRbF2aQruv
387,"This narrative of development, Modiji wants development or Modi ji doesn't believe in caste; they use caste everywh… https://t.co/QRJfmBKQM4"
388,Is he trolling the farmers ? Cuz the ones here are probably party workers and overwhelming number of empty chairs. https://t.co/8LTB9jXkhw
389,Pen is mightier than the sword: Team Bhagat Singh at Singhu border in support of farmers https://t.co/dHhysPb68k vi… https://t.co/rVA4I1S6XK
390,@narendramodi @nstomar Sir please talk to protesting farmers and find a solution 🙏 https://t.co/oqexdtxPji
391,@DeepSid05481814 Sarey janey support karo ji farmers nu🙏🏽 #FarmersDoneWithModiJumlas https://t.co/bAeWjshhYU
392,@trisha_bergkamp @delstroyer_ This man gonna start waffling about farmers league
393,French farmers in tractor prot...  Check at https://t.co/AvIkbGrl45 Follow @insubcontinent also TRNDN Hobart… https://t.co/mXuSsOKyIq
394,"@RituCha94255649 @KanganaTeam Tere ko pta hai Msp .kabhi kheti ki hai ,do you even now 3 bills .Diljit se puchlo he… https://t.co/hcntRmUqnf"
395,@Farmerprotest20 @KirtanHora @diljitdosanjh @navpreetpabla That's okay ...I am still saying ..not all Farmers are T… https://t.co/7eDB7LLGKk
396,@iraniShenaz1958 The farmers were hand picked. They are not representing of real farmers. We know how the BJP stage… https://t.co/iNIntGGoiB
397,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/G0Ys4Z4dFV"
398,@Swetang06 @mArmysupporter @narendramodi @nstomar Slow clap for you 😂carry on we are farmers apke kehhne se kuch nhi hoga
399,@IndianRajeshNCo @kamal_thiara @FireFly53647402 @ChowkidarChokra @NetaNiyanta @Shonkho @SortedEagle @bshariharan… https://t.co/ZvjJT6Ypfi
400,If government is really surplus in foodgrains and its PDS system is so much sophisticated then who are the people e… https://t.co/OZMcZfma7N
401,"@RKRadhakrishn The aim is not to defeat or discredit the protests but to expose people like you, who spreads misinf… https://t.co/QzTuBGPNJ3"
402,@mkatju Sarey janey support karo ji farmers nu🙏🏽 #FarmersDoneWithModiJumlas https://t.co/bAeWjshhYU
403,Farmers Protest Delhi and Gobhi de pakore! #FarmersDoneWithModiJumlas https://t.co/64hy4LAlxw
404,@KanwalSibal Selfish leaders like P Chidambaram are misleading farmers for their selfishness and saying this in an… https://t.co/bDDf6IRouv
405,@TheTrueIndian01 @ShashiTharoor Concerned dept minister is meeting everytime during negotiation meetings with leafe… https://t.co/hqYJeTuIxj
406,"@GunillaRoos3 @spefageln In the US, veterinary grade Ivermectin is readily available at stores catering to farmers."
407,@Sakina_Qureshi_ we are with farmers
408,"We're fed up using multiple chargers for phone,laptop,power bank etc.)I demand to our gov. to make one charger for… https://t.co/QJvW7vL8oO"
409,"@sandeep33654692 @Navneet95750984 @BhagwantBs @lkular001 @diljitdosanjh Go and count the number.
It will take atlea… https://t.co/xNkx1gV4d4"
410,@TanmayPatel5072 @priyankmtr @nisargandh @harbhajan_singh @narendramodi Yeah that's point and apmc is state law how… https://t.co/s5vN7YRFKv
411,@sujitsingh____ @2Suhana25 we are with farmers
412,@boxervijender Sarey janey support karo ji farmers nu🙏🏽 #FarmersDoneWithModiJumlas https://t.co/bAeWjshhYU
413,@LHYK12 we are with farmers
414,If you can not sell your crops at profit then your are being looted. #FarmersProstests #FarmBills2020 #FarmersBill
415,Ok farmers market is too busy I’m just sticking to oxygen park
416,@pbhushan1 😂😂😂 farmers bill finished. Now parliament
417,@FirdausMahrukh we are with farmers
418,"Shopkeeper don't have trust on modi  . How can farmers trust on fenku.  
#FarmersDoneWithModiJumlas https://t.co/NpcEzudJbU"
419,@ElanteMall we came many times for shopping n watching movies.and now u r opposing our vehicles with support of far… https://t.co/VGJE1jqI43
420,@dittt0 Sarey janey support karo ji farmers nu🙏🏽 #FarmersDoneWithModiJumlas https://t.co/bAeWjshhYU
421,Reality of farm bills expalined and farmers protest is ran by fake propagandists click the link below👇… https://t.co/Hw6N8Csgb4
422,@jazzyb Sarey janey support karo ji farmers nu🙏🏽 #FarmersDoneWithModiJumlas https://t.co/bAeWjshhYU
423,"""Genocide"" of olive trees in Palestine. 
Zionist settlers are not targeting Palestinians only, they destroy peace s… https://t.co/rlDy0fiQ0f"
424,@ParaRjs @Jaythirdattempt @rajeshwarbal1 @anbokshi @KanwalSibal Tbh they are blackmailing. They just want to the fr… https://t.co/PpCqqaSE9f
425,"#ModiWithFarmers
New Markets to Farmers
https://t.co/DisqVWpxGJ
via NaMo App"
426,@BiswalSaloni @Iamazharperwaiz Yes this is exactly what farmers were protesting for. Finally they can go home clean… https://t.co/0W2ZrNdRO5
427,"#ModiWithFarmers
Opening new avenues to farmers
https://t.co/3zKIHnKY90
via NaMo App"
428,"@scoinaldo Check out $YOP

$YOP has announced that it has secured funding from an investment company listed on the… https://t.co/gnYPwUYMit"
429,Our aggro-culture: Mass protests and agitations for various reasons have become a major occupation in the country… https://t.co/6eEy4sf2xc
430,"#ModiWithFarmers
Providing solutions to farmers
https://t.co/F8LLs9SG88
via NaMo App"
431,@Ayan07__ @mina39639651 @Ravikanth24 @zhang051491 @globaltimesnews Why don't you create a chill and living environm… https://t.co/A1F5hFTC4A
432,@niku1630 Farmers law...😊🤣
433,@AdityaKansili @KanganaTeam Do u think Modi is not coward enough to avoid Farmer sitting 20km from PM office and br… https://t.co/4OCK04KCGb
434,"Today, focus is being given on both physical and digital infrastructure, ensuring the farmers have access to the di… https://t.co/MeVbjwHPkr"
435,"With the improved physical and digital infrastructure, farmers can have a better market for their products, helping… https://t.co/me5Y8n3HQ9"
436,@sakshijoshii @mlkhattar @sakshijoshii  ma'am. Tomorrow khattar ji Will come to my city to address Farmers If i get… https://t.co/h2aW1Ci5el
437,@Pal3sa1 @Curtis_peprah @JuniorDenty You will not be able even a farmers competition Europa if my team was in that… https://t.co/uanv6DPRr5
438,"Reforms in the agri sector, in the last six months, have started giving benefits to the farmers: PM @narendramodi,… https://t.co/ZYI7nUd2cW"
439,@abdallasambul @hafsa_saad01 @_aminkey Kamalisa that farmers supporter.
440,@ShashiTharoor Are you talking of Tamil Nadu farmers waiting for rain
441,One of the many reasons why farmers of Punjab must not oppose the farm bills blindly by falling prey to vested inte… https://t.co/POxpCfN1vA
442,"@MdToush77506104 Yes, the rapists should be hanged

But there are no Jumlas as far as Farmers issues are concerned… https://t.co/dKMG7anECB"
443,"#ModiWithFarmers
Fulfilling the demands of farmers
https://t.co/Rlom3Ruwk0
via NaMo App"
444,@Multanii12 @ArunVis53451302 @AdaniOnline Dude u r getting msp at 1925 for last paddy sale..40pct higher thn 2014..… https://t.co/IWQho0BhF7
445,@MrinalPande1 Pls give such sane advice to protesting farmers also. It is not wise to obstruct dialogue. The govern… https://t.co/BNJbMIJoiz
446,This is not attack on Chinese military or Pakistanies military but on poor farmers who came to Delhi asking governm… https://t.co/FAjLgiKJJu
447,"#ModiWithFarmers
Timely support to farmers through MSP
https://t.co/sogxdl8olT
via NaMo App"
448,@AnurseJust That was just an assumption sir? But still I would like to reply u as a student of political science an… https://t.co/OysLPl0DsG
449,"#ModiWithFarmers
Reducing the input cost of farmers
https://t.co/HZZFRcCsc8
via NaMo App"
450,"Adopt a popular prejudice, then exaggerate it  ! Not my words , but profound.  Example - A minority is a threat to… https://t.co/rrwMthEARI"
451,@SandeepVishwa_ @ZakiyaKINC farmers are our but the government is now become Alienation for farmers and us.
452,"@RantyHighwayman @DonnachadhMc @extinctsymbol Obviously not necessarily as good a deal for the farmers though, and… https://t.co/SK0Ds1Ucfx"
453,"🦠 Corona @ 1 crore
⛽ Petrol @ ₹90
📉 GDP @ -23.9%
👷‍♂️ Job Loss @ 15 crore
🚜 Farmers Protest @ 20 crore

The Nation… https://t.co/tOysgXHSCA"
454,Sunrise in a Knoxville!!  FARMERS FIGHT!!! https://t.co/6tEw5BoUbE
455,"#ModiWithFarmers
Protecting farmers interests
via NaMo App https://t.co/7APpURW96m"
456,@gauravsingh8440 @adveetey @rahulkanwal I did not respond as it was already answered it was your third comment to w… https://t.co/lddBTyvCuZ
457,"#ModiWithFarmers
Empowering small and medium farmers
via NaMo App https://t.co/ujKB95PR8x"
458,Reposted from @homegymman Wanted to hit something heavy before taking a week off so went up 222kg on the farmers ha… https://t.co/TW8liogQSa
459,☬ @capt_amarinder The American farming state of North Dakota has anti-corporate farm laws to protect the small farm… https://t.co/jXQTbdBUXY
460,"@HillaryClinton May please write something in favour of the farmers, who are agitating at New Delhi in India for their rights."
461,"Fed up with the Biased Media, Farmers have launched their own Newspaper today. Named TROLLEY TIMES, the Paper will… https://t.co/V2ZKbpFjEu"
462,"Save farmers Save food save future 
#FarmersDoneWithModiJumlas https://t.co/qmZoPiMGiX"
463,"Letter of Agriculture Minister Shri Narendra Ming Tomar to the farmers
https://t.co/zdqI33jdhb
#India #NarendraModi… https://t.co/LZvgZdPUA0"
464,@PTTVOnlineNews @CMOTamilNadu @AIADMKOfficial MGR BEATS FORMERS AT A ELECTRIC POLE FOR PROTEST AGAINST GOVT LIKE FR… https://t.co/I8CNIINcm6
465,"#ModiWithFarmers
Freedom of choice to farmers
via NaMo App https://t.co/Boof24a24V"
